epoch,Training Loss,Valid. Loss,Perplexity,Training Time,Validation Time
1,2.2580937964491326,2.2453971211427177,9.4842,0:14:55,0:06:22
2,1.9455109428454544,2.2090902220189954,9.1076,0:14:56,0:06:24
3,1.6548540178108528,2.28271097174657,9.8041,0:14:55,0:06:23
4,1.3723127576876,2.415095585234025,11.1923,0:14:55,0:06:23
5,1.108389304268478,2.5900904034867005,13.3374,0:14:55,0:06:23
6,0.8745299667710124,2.7554500150524706,15.7367,0:14:56,0:06:24
7,0.6756655854901464,2.88873463596394,17.9752,0:14:55,0:06:23
8,0.5105770581429544,3.008539093164058,20.2619,0:14:59,0:06:23
9,0.3735644200343404,3.123856798807779,22.7386,0:14:56,0:06:24
10,0.2638604758743796,3.241938226207409,25.5905,0:14:56,0:06:24
